,Date,GDP
29,January 31 2012,15.94
28,February 29 2012,16.21
27,March 31 2012,16.06
26,April 30 2012,16.18
25,May 31 2012,16.22
24,June 30 2012,16.22
23,July 31 2012,16.32
22,August 31 2012,16.27
21,September 30 2012,16.37
20,October 31 2012,16.33
19,November 30 2012,16.41
18,December 31 2012,16.52
17,January 31 2013,16.68
16,February 28 2013,16.58
15,March 31 2013,16.63
14,April 30 2013,16.65
13,May 31 2013,16.65
12,June 30 2013,16.80
11,July 31 2013,16.85
10,August 31 2013,16.93
9,September 30 2013,16.95
8,October 31 2013,17.05
7,November 30 2013,17.17
6,December 31 2013,17.18
5,January 31 2014,17.07
4,February 28 2014,17.16
3,March 31 2014,17.20
2,April 30 2014,17.35
1,May 31 2014,17.48
0,June 30 2014,17.56
24,July 31 2014,17.69
23,August 31 2014,17.80
22,September 30 2014,17.74
21,October 31 2014,17.85
20,November 30 2014,17.87
19,December 31 2014,17.84
18,January 31 2015,17.93
17,February 28 2015,18.06
16,March 31 2015,17.99
15,April 30 2015,18.16
14,May 31 2015,18.18
13,June 30 2015,18.25
12,July 31 2015,18.28
11,August 31 2015,18.29
10,September 30 2015,18.36
9,October 31 2015,18.35
8,November 30 2015,18.30
7,December 31 2015,18.34
6,January 31 2016,18.40
5,February 29 2016,18.36
4,March 31 2016,18.52
3,April 30 2016,18.60
2,May 31 2016,18.58
1,June 30 2016,18.65
0,July 31 2016,18.66
24,August 31 2016,18.78
23,September 30 2016,18.89
22,October 31 2016,18.86
21,November 30 2016,18.98
20,December 31 2016,19.06
19,January 31 2017,19.10
18,February 28 2017,19.14
17,March 31 2017,19.22
16,April 30 2017,19.20
15,May 31 2017,19.33
14,June 30 2017,19.44
13,July 31 2017,19.45
12,August 31 2017,19.53
11,September 30 2017,19.70
10,October 31 2017,19.74
9,November 30 2017,19.91
8,December 31 2017,19.99
7,January 31 2018,20.05
6,February 28 2018,20.20
5,March 31 2018,20.18
4,April 30 2018,20.39
3,May 31 2018,20.51
2,June 30 2018,20.58
1,July 31 2018,20.59
0,August 31 2018,20.69
24,September 30 2018,20.69
23,October 31 2018,20.83
22,November 30 2018,20.78
21,December 31 2018,20.83
20,January 31 2019,20.98
19,February 28 2019,20.99
18,March 31 2019,21.03
17,April 30 2019,21.20
16,May 31 2019,21.27
15,June 30 2019,21.40
14,July 31 2019,21.46
13,August 31 2019,21.51
12,September 30 2019,21.55
11,October 31 2019,21.63
10,November 30 2019,21.71
9,December 31 2019,21.74
8,January 31 2020,21.79
7,February 29 2020,21.92
6,March 31 2020,20.74
5,April 30 2020,18.51
4,May 31 2020,19.37
3,June 30 2020,20.56
2,July 31 2020,20.85
1,August 31 2020,21.34
0,September 30 2020,21.65
24,October 31 2020,21.81
23,November 30 2020,21.59
22,December 31 2020,21.71
21,January 31 2021,22.22
20,February 28 2021,22.03
19,March 31 2021,22.69
18,April 30 2021,22.82
17,May 31 2021,23.08
16,June 30 2021,23.23
15,July 31 2021,23.32
14,August 31 2021,23.59
13,September 30 2021,23.74
12,October 31 2021,24.21
11,November 30 2021,24.31
10,December 31 2021,24.52
9,January 31 2022,24.52
8,February 28 2022,24.73
7,March 31 2022,24.97
6,April 30 2022,25.00
5,May 31 2022,25.23
4,June 30 2022,25.52
3,July 31 2022,25.48
2,August 31 2022,25.87
1,September 30 2022,25.81
0,October 31 2022,25.99
