State,October2021,November2021,December2021,January2022,February2022,March2022,April2022,May2022,June2022,July2022,August2022,September2022,Mean
Alabama,3.1,3.1,3.1,3.1,3,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.85
Alaska,5.7,5.5,5.5,5.6,5.3,4.9,4.8,4.6,4.6,4.5,4.6,4.4,5
Arizona,3.9,3.9,3.9,3.7,3.6,3.3,3.2,3.2,3.3,3.3,3.5,3.7,3.5416666666666665
Arkansas,3.4,3.3,3.3,3.2,3.1,3.1,3.2,3.2,3.2,3.3,3.4,3.5,3.2666666666666666
California,6.1,5.8,5.8,5.7,5.3,4.8,4.6,4.3,4.2,3.9,4.1,3.8,4.866666666666666
Colorado,4.5,4.3,4.2,4.2,4,3.7,3.6,3.5,3.4,3.3,3.4,3.4,3.7916666666666665
Connecticut,5.4,5.2,5.1,5.3,4.9,4.6,4.4,4.2,4,3.7,4.1,4,4.575
Delaware,4.9,4.8,4.8,4.8,4.6,4.5,4.5,4.5,4.5,4.4,4.5,4.3,4.591666666666667
District of Columbia,6.3,6.1,6.1,6.3,6.1,6,5.8,5.7,5.5,5.2,5.1,4.7,5.741666666666666
Florida,3.7,3.5,3.5,3.5,3.3,3.2,3,2.9,2.8,2.7,2.7,2.5,3.1083333333333334
Georgia,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,2.9,2.8,2.8,2.8,3.075
Hawaii,4.7,4.4,4.3,4.3,4.2,4.1,4.1,4.1,4.2,4,4,3.5,4.158333333333333
Idaho,3.2,3.2,3.1,3,2.8,2.7,2.6,2.5,2.5,2.6,2.7,2.8,2.8083333333333336
Illinois,5.3,5.1,5.1,5,4.8,4.7,4.6,4.6,4.5,4.4,4.5,4.5,4.758333333333333
Indiana,2.8,2.7,2.7,2.4,2.3,2.2,2.2,2.2,2.4,2.6,2.8,2.8,2.5083333333333333
Iowa,4,3.9,3.9,3.7,3.5,3.3,3,2.7,2.6,2.5,2.6,2.7,3.2
Kansas,2.9,2.8,2.8,2.6,2.5,2.4,2.4,2.3,2.4,2.4,2.5,2.6,2.55
