Year,Month,UnemploymentRate,month,date,race
2012,Jan,7.4,1,2012-01-01,White
2012,Feb,7.4,2,2012-02-01,White
2012,Mar,7.3,3,2012-03-01,White
2012,Apr,7.4,4,2012-04-01,White
2012,May,7.4,5,2012-05-01,White
2012,Jun,7.3,6,2012-06-01,White
2012,Jul,7.3,7,2012-07-01,White
2012,Aug,7.2,8,2012-08-01,White
2012,Sep,7,9,2012-09-01,White
2012,Oct,6.9,10,2012-10-01,White
2012,Nov,6.8,11,2012-11-01,White
2012,Dec,6.9,12,2012-12-01,White
2013,Jan,7.1,1,2013-01-01,White
2013,Feb,6.8,2,2013-02-01,White
2013,Mar,6.7,3,2013-03-01,White
2013,Apr,6.7,4,2013-04-01,White
2013,May,6.7,5,2013-05-01,White
2013,Jun,6.6,6,2013-06-01,White
2013,Jul,6.5,7,2013-07-01,White
2013,Aug,6.4,8,2013-08-01,White
2013,Sep,6.3,9,2013-09-01,White
2013,Oct,6.3,10,2013-10-01,White
2013,Nov,6.1,11,2013-11-01,White
2013,Dec,5.9,12,2013-12-01,White
2014,Jan,5.7,1,2014-01-01,White
2014,Feb,5.8,2,2014-02-01,White
2014,Mar,5.8,3,2014-03-01,White
2014,Apr,5.3,4,2014-04-01,White
2014,May,5.4,5,2014-05-01,White
2014,Jun,5.3,6,2014-06-01,White
2014,Jul,5.3,7,2014-07-01,White
2014,Aug,5.3,8,2014-08-01,White
2014,Sep,5.1,9,2014-09-01,White
2014,Oct,4.9,10,2014-10-01,White
2014,Nov,5,11,2014-11-01,White
2014,Dec,4.7,12,2014-12-01,White
2015,Jan,4.9,1,2015-01-01,White
2015,Feb,4.7,2,2015-02-01,White
2015,Mar,4.8,3,2015-03-01,White
2015,Apr,4.7,4,2015-04-01,White
2015,May,4.8,5,2015-05-01,White
2015,Jun,4.6,6,2015-06-01,White
2015,Jul,4.5,7,2015-07-01,White
2015,Aug,4.4,8,2015-08-01,White
2015,Sep,4.4,9,2015-09-01,White
2015,Oct,4.4,10,2015-10-01,White
2015,Nov,4.4,11,2015-11-01,White
2015,Dec,4.4,12,2015-12-01,White
2016,Jan,4.2,1,2016-01-01,White
2016,Feb,4.2,2,2016-02-01,White
2016,Mar,4.3,3,2016-03-01,White
2016,Apr,4.4,4,2016-04-01,White
2016,May,4.2,5,2016-05-01,White
2016,Jun,4.3,6,2016-06-01,White
2016,Jul,4.2,7,2016-07-01,White
2016,Aug,4.4,8,2016-08-01,White
2016,Sep,4.4,9,2016-09-01,White
2016,Oct,4.4,10,2016-10-01,White
2016,Nov,4.2,11,2016-11-01,White
2016,Dec,4.2,12,2016-12-01,White
2017,Jan,4.2,1,2017-01-01,White
2017,Feb,4,2,2017-02-01,White
2017,Mar,3.8,3,2017-03-01,White
2017,Apr,3.9,4,2017-04-01,White
2017,May,3.7,5,2017-05-01,White
2017,Jun,3.8,6,2017-06-01,White
2017,Jul,3.8,7,2017-07-01,White
2017,Aug,3.9,8,2017-08-01,White
2017,Sep,3.7,9,2017-09-01,White
2017,Oct,3.6,10,2017-10-01,White
2017,Nov,3.7,11,2017-11-01,White
2017,Dec,3.7,12,2017-12-01,White
2018,Jan,3.5,1,2018-01-01,White
2018,Feb,3.6,2,2018-02-01,White
2018,Mar,3.5,3,2018-03-01,White
2018,Apr,3.6,4,2018-04-01,White
2018,May,3.5,5,2018-05-01,White
2018,Jun,3.5,6,2018-06-01,White
2018,Jul,3.4,7,2018-07-01,White
2018,Aug,3.5,8,2018-08-01,White
2018,Sep,3.3,9,2018-09-01,White
2018,Oct,3.4,10,2018-10-01,White
2018,Nov,3.4,11,2018-11-01,White
2018,Dec,3.4,12,2018-12-01,White
2019,Jan,3.5,1,2019-01-01,White
2019,Feb,3.2,2,2019-02-01,White
2019,Mar,3.3,3,2019-03-01,White
2019,Apr,3.2,4,2019-04-01,White
2019,May,3.3,5,2019-05-01,White
2019,Jun,3.3,6,2019-06-01,White
2019,Jul,3.3,7,2019-07-01,White
2019,Aug,3.5,8,2019-08-01,White
2019,Sep,3.2,9,2019-09-01,White
2019,Oct,3.3,10,2019-10-01,White
2019,Nov,3.2,11,2019-11-01,White
2019,Dec,3.2,12,2019-12-01,White
2020,Jan,3.1,1,2020-01-01,White
