Year,Month,Unemployed,month,date,UnemploymentRate
2012,Jan,12797,1,2012-01-01,8.3
2012,Feb,12813,2,2012-02-01,8.3
2012,Mar,12713,3,2012-03-01,8.2
2012,Apr,12646,4,2012-04-01,8.2
2012,May,12660,5,2012-05-01,8.2
2012,Jun,12692,6,2012-06-01,8.2
2012,Jul,12656,7,2012-07-01,8.2
2012,Aug,12471,8,2012-08-01,8.1
2012,Sep,12115,9,2012-09-01,7.8
2012,Oct,12124,10,2012-10-01,7.8
2012,Nov,12005,11,2012-11-01,7.7
2012,Dec,12298,12,2012-12-01,7.9
2013,Jan,12471,1,2013-01-01,8
2013,Feb,11950,2,2013-02-01,7.7
2013,Mar,11689,3,2013-03-01,7.5
2013,Apr,11760,4,2013-04-01,7.6
2013,May,11654,5,2013-05-01,7.5
2013,Jun,11751,6,2013-06-01,7.5
2013,Jul,11335,7,2013-07-01,7.3
2013,Aug,11279,8,2013-08-01,7.2
2013,Sep,11270,9,2013-09-01,7.2
2013,Oct,11136,10,2013-10-01,7.2
2013,Nov,10787,11,2013-11-01,6.9
2013,Dec,10404,12,2013-12-01,6.7
2014,Jan,10202,1,2014-01-01,6.6
2014,Feb,10349,2,2014-02-01,6.7
2014,Mar,10380,3,2014-03-01,6.7
2014,Apr,9702,4,2014-04-01,6.2
2014,May,9859,5,2014-05-01,6.3
2014,Jun,9460,6,2014-06-01,6.1
2014,Jul,9608,7,2014-07-01,6.2
2014,Aug,9599,8,2014-08-01,6.1
2014,Sep,9262,9,2014-09-01,5.9
2014,Oct,8990,10,2014-10-01,5.7
2014,Nov,9090,11,2014-11-01,5.8
2014,Dec,8717,12,2014-12-01,5.6
2015,Jan,8885,1,2015-01-01,5.7
2015,Feb,8599,2,2015-02-01,5.5
2015,Mar,8515,3,2015-03-01,5.4
2015,Apr,8550,4,2015-04-01,5.4
2015,May,8834,5,2015-05-01,5.6
2015,Jun,8247,6,2015-06-01,5.3
2015,Jul,8167,7,2015-07-01,5.2
2015,Aug,7992,8,2015-08-01,5.1
2015,Sep,7907,9,2015-09-01,5
2015,Oct,7922,10,2015-10-01,5
2015,Nov,8000,11,2015-11-01,5.1
2015,Dec,7907,12,2015-12-01,5
2016,Jan,7627,1,2016-01-01,4.8
2016,Feb,7702,2,2016-02-01,4.9
2016,Mar,7961,3,2016-03-01,5
2016,Apr,8067,4,2016-04-01,5.1
2016,May,7652,5,2016-05-01,4.8
2016,Jun,7744,6,2016-06-01,4.9
2016,Jul,7641,7,2016-07-01,4.8
2016,Aug,7784,8,2016-08-01,4.9
2016,Sep,7953,9,2016-09-01,5
2016,Oct,7811,10,2016-10-01,4.9
2016,Nov,7553,11,2016-11-01,4.7
2016,Dec,7521,12,2016-12-01,4.7
2017,Jan,7468,1,2017-01-01,4.7
2017,Feb,7379,2,2017-02-01,4.6
2017,Mar,7073,3,2017-03-01,4.4
2017,Apr,7089,4,2017-04-01,4.4
2017,May,7000,5,2017-05-01,4.4
2017,Jun,6873,6,2017-06-01,4.3
2017,Jul,6892,7,2017-07-01,4.3
2017,Aug,7082,8,2017-08-01,4.4
2017,Sep,6854,9,2017-09-01,4.3
2017,Oct,6700,10,2017-10-01,4.2
2017,Nov,6774,11,2017-11-01,4.2
2017,Dec,6632,12,2017-12-01,4.1
2018,Jan,6505,1,2018-01-01,4
2018,Feb,6586,2,2018-02-01,4.1
2018,Mar,6457,3,2018-03-01,4
2018,Apr,6448,4,2018-04-01,4
2018,May,6188,5,2018-05-01,3.8
2018,Jun,6446,6,2018-06-01,4
2018,Jul,6173,7,2018-07-01,3.8
2018,Aug,6167,8,2018-08-01,3.8
2018,Sep,6065,9,2018-09-01,3.7
2018,Oct,6230,10,2018-10-01,3.8
2018,Nov,6132,11,2018-11-01,3.8
2018,Dec,6379,12,2018-12-01,3.9
2019,Jan,6458,1,2019-01-01,4
2019,Feb,6122,2,2019-02-01,3.8
2019,Mar,6166,3,2019-03-01,3.8
2019,Apr,5898,4,2019-04-01,3.6
2019,May,5935,5,2019-05-01,3.6
2019,Jun,5906,6,2019-06-01,3.6
2019,Jul,5984,7,2019-07-01,3.7
2019,Aug,5993,8,2019-08-01,3.7
2019,Sep,5766,9,2019-09-01,3.5
2019,Oct,5980,10,2019-10-01,3.6
2019,Nov,5930,11,2019-11-01,3.6
2019,Dec,5861,12,2019-12-01,3.6
2020,Jan,5826,1,2020-01-01,3.5
2020,Feb,5717,2,2020-02-01,3.5
2020,Mar,7165,3,2020-03-01,4.4
2020,Apr,23038,4,2020-04-01,14.7
2020,May,20940,5,2020-05-01,13.2
2020,Jun,17616,6,2020-06-01,11
2020,Jul,16288,7,2020-07-01,10.2
2020,Aug,13532,8,2020-08-01,8.4
2020,Sep,12584,9,2020-09-01,7.9
2020,Oct,11115,10,2020-10-01,6.9
2020,Nov,10777,11,2020-11-01,6.7
2020,Dec,10789,12,2020-12-01,6.7
2021,Jan,10180,1,2021-01-01,6.4
2021,Feb,9992,2,2021-02-01,6.2
2021,Mar,9691,3,2021-03-01,6
2021,Apr,9719,4,2021-04-01,6
2021,May,9251,5,2021-05-01,5.8
2021,Jun,9502,6,2021-06-01,5.9
2021,Jul,8671,7,2021-07-01,5.4
2021,Aug,8339,8,2021-08-01,5.2
2021,Sep,7666,9,2021-09-01,4.7
2021,Oct,7375,10,2021-10-01,4.6
2021,Nov,6802,11,2021-11-01,4.2
2021,Dec,6319,12,2021-12-01,3.9
2022,Jan,6513,1,2022-01-01,4
2022,Feb,6270,2,2022-02-01,3.8
2022,Mar,5952,3,2022-03-01,3.6
2022,Apr,5941,4,2022-04-01,3.6
