Age,Sex,2019_Q3,2020_Q3,2021_Q3,2022_Q3,2019_Sep,2020_Sep,2021_Sep,2022_Sep
16 to 17 years,Total,13.8,16.2,10.9,10.8,13.1,17.0,11.4,12.4
18 to 19 years,Total,11.7,17.6,10.7,11.3,12.2,15.4,11.6,10.9
20 to 24 years,Total,6.7,15.0,8.8,6.8,6.3,12.5,8.0,7.0
25 to 34 years,Total,3.6,9.9,5.7,3.6,3.6,8.7,5.3,3.6
35 to 44 years,Total,2.7,6.9,4.4,2.9,2.6,6.2,4.0,3.0
45 to 54 years,Total,2.8,6.8,3.9,2.4,2.8,6.4,3.9,2.1
55 years and over,Total,2.6,7.7,4.0,2.5,2.4,6.7,3.6,2.4
16 to 17 years,Men,14.3,19.3,11.2,11.1,13.1,19.0,12.3,13.2
18 to 19 years,Men,13.1,19.3,12.1,11.4,14.1,16.1,13.3,10.3
20 to 24 years,Men,7.6,14.9,9.8,7.8,7.2,12.8,9.3,7.9
25 to 34 years,Men,3.7,10.1,5.9,3.5,3.8,8.7,5.7,3.6
35 to 44 years,Men,2.5,6.8,4.4,2.9,2.4,6.1,4.1,2.9
45 to 54 years,Men,2.8,6.2,4.0,2.5,2.8,6.1,3.7,2.3
55 years and over,Men,2.4,7.2,4.0,2.5,2.3,6.3,3.6,2.3
16 to 17 years,Women,13.5,13.4,10.6,10.5,13.2,15.3,10.5,11.6
18 to 19 years,Women,10.3,15.8,9.2,11.1,10.1,14.7,10.0,11.6
20 to 24 years,Women,5.8,15.0,7.7,5.7,5.4,12.2,6.5,5.9
25 to 34 years,Women,3.5,9.8,5.4,3.6,3.3,8.8,4.9,3.5
35 to 44 years,Women,3.0,7.1,4.3,2.8,2.9,6.4,3.9,3.1
45 to 54 years,Women,2.7,7.5,3.8,2.3,2.8,6.8,4.1,1.8
55 years and over,Women,2.8,8.3,3.8,2.4,2.6,7.2,3.4,2.4
